SubCategoryID,GroupName,SubGroup,ItemName,ItemDescription,ItemCode,Manufacturer_ID,Manufacturer,Expirable,MinLevel,MaxLevel,ReorderLevel,ReorderQty,MinUnit,MaxUnit,ConversionFactor
,MEDICAL STORE,CATGUTS,3-0 TRUSILK 5028,3-0 TRUSILK 5028,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 TRUSILK S212,3-0 TRUSILK S212,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,4-0 TRUSYNTH TS 2718RBF,4-0 TRUSYNTH TS 2718RBF,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,4-0-ETHILON-3319,4-0-ETHILON-3319,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,CHHABRA VP MP SH202,CHHABRA VP MP SH202,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,CERTOFIX TRIO V 715 CATHETER,CERTOFIX TRIO V 715 CATHETER,,,B-BRUN,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,ET TUBE 8 SIZE,ET TUBE 8 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 10 SIZE,FOLEYS CATHETER 10 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 12 SIZE,FOLEYS CATHETER 12 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 12 SIZE,FOLEYS CATHETER 12 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 14 SIZE,FOLEYS CATHETER 14 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 14 SIZE,FOLEYS CATHETER 14 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 16 SIZE,FOLEYS CATHETER 16 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 16 SIZE,FOLEYS CATHETER 16 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 18 SIZE,FOLEYS CATHETER 18 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 18 SIZE,FOLEYS CATHETER 18 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 22 SIZE,FOLEYS CATHETER 22 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 3 WAY 20 SIZE,FOLEYS CATHETER 3 WAY 20 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 3 WAY 22 SIZE,FOLEYS CATHETER 3 WAY 22 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 3 WAY 22 SIZE,FOLEYS CATHETER 3 WAY 22 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,FOLEYS CATHETER 8 SIZE,FOLEYS CATHETER 8 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,PIG TAIL CATHETER 14 FR( 22CM ),PIG TAIL CATHETER 14 FR( 22CM ),,,BLUE NEEM MEDICAL DEVICES PVT,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,RYLES TUBE 14 SIZE,RYLES TUBE 14 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,CATHETER,SUCTION CATHTER -10 SIZE,SUCTION CATHTER -10 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ABGEL,ABGEL,,,SRI GOPAL KRISHNA LABS PVT LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,APRON,APRON,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,APRON,APRON,,,sms,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,APRON,APRON,,,KOVAI SURGICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BABY WIPES PKT,BABY WIPES PKT,,,GINNI FILAMENTS LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BACTIGRAS 10X10CM,BACTIGRAS 10X10CM,,,SRI GOPAL KRISHNA LABS PVT LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BACTIGRAS 10X10CM,BACTIGRAS 10X10CM,,,SMITH+NEPHEW,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BACTIGRAS 10X10CM,BACTIGRAS 10X10CM,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BACTIGRAS 10X10CM,BACTIGRAS 10X10CM,,,ELDER PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BARD COMPOSIX L/P MESH 4.5/11.4 CM,BARD COMPOSIX L/P MESH 4.5/11.4 CM,,,BARD MESH,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE,BLADE,,,laser,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE,BLADE,,,SUPER MAX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE 11,BLADE 11,,,SURGEON,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE 11,BLADE 11,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE 15,BLADE 15,,,SURGEON,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE 15,BLADE 15,,,DEVANG  PHARMACEUTICALS   LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BLADE 22,BLADE 22,,,SURGEON,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BODY WIPE,BODY WIPE,,,GINNI FILAMENTS LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BODY WIPE,BODY WIPE,,,ECO,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,BUDECORT 0.5 RESPULES,BUDECORT 0.5 RESPULES,,,CIPLA  LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CAP,CAP,,,rodex international,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CAP-BLUE,CAP-BLUE,,,rodex international,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CAP-GREEN,CAP-GREEN,,,rodex international,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CATHETER MOUNT,CATHETER MOUNT,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,COLASTOMY  BAG  45MM,COLASTOMY  BAG  45MM,,,SQUIBB & SONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,COLOSTOMY BAG,COLOSTOMY BAG,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,COPPER - T,COPPER - T,,,HLL LIFECARE LIMITED,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,COTTON,COTTON,,,VENKATESH SURGICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CUTICELL-C 10*10,CUTICELL-C 10*10,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,CVP MANOMETER,CVP MANOMETER,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,DIALYSER ( NEPHRO ),DIALYSER ( NEPHRO ),,,BAXTER (INDIA) PVT LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,DIGITAL  THERMOMETER,DIGITAL  THERMOMETER,,,MEDI NORM,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,DIGITAL  THERMOMETER,DIGITAL  THERMOMETER,,,LITTMAN],,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,DRAPE SHEET,DRAPE SHEET,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,DRESSING JAR,DRESSING JAR,,,chandren steels,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E.T TUBE RUBBER SIZE 7 CUFF,E.T TUBE RUBBER SIZE 7 CUFF,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E.T TUBE RUBBER SIZE 7.5 CUFF,E.T TUBE RUBBER SIZE 7.5 CUFF,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E.T TUBE RUBBER SIZE 8 CUFF,E.T TUBE RUBBER SIZE 8 CUFF,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,EASYFIX ( MEDIUM )IV CANULA FIXATOR,EASYFIX ( MEDIUM )IV CANULA FIXATOR,,,DYNAMIC,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,EASYGLIDE ( BLADE ),EASYGLIDE ( BLADE ),,,DYNAMIC,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ELECTRODES  ( ECG ADHESIVE),ELECTRODES  ( ECG ADHESIVE),,,3M,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E-T  TUBE- 8.5 SIZE,E-T  TUBE- 8.5 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ET TUBE - 9 SIZE,ET TUBE - 9 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ET TUBE 5.5,ET TUBE 5.5,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ET TUBE 6 SIZE,ET TUBE 6 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ET TUBE 6.5 SIZE,ET TUBE 6.5 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E-T TUBE -7.5 SIZE,E-T TUBE -7.5 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ET TUBE 7SIZE,ET TUBE 7SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,E-T TUBE 8SIZE PORTEX,E-T TUBE 8SIZE PORTEX,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,EXTENSION TUBE,EXTENSION TUBE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,FACE   MASK,FACE   MASK,,,rodex international,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,GAUZE,GAUZE,,,VENKATESH SURGICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HEAD WIPE SHAMPOO,HEAD WIPE SHAMPOO,,,GINNI FILAMENTS LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HIPORE   - 1 INCH,HIPORE   - 1 INCH,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HIPORE  - 2 INCH,HIPORE  - 2 INCH,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HIPORE  1/2 INCH,HIPORE  1/2 INCH,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HIPORE  -3 INCH,HIPORE  -3 INCH,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HME FILTER,HME FILTER,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,HME FILTER,HME FILTER,,,ARMSTRONG MEDICAL LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ICD BAG,ICD BAG,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,INFANT   FEEDING   TUBE   7SIZE,INFANT   FEEDING   TUBE   7SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,INFANT   FEEDING   TUBE   8SIZE,INFANT   FEEDING   TUBE   8SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,INFANT   FEEDING  TUBE  5 SIZE,INFANT   FEEDING  TUBE  5 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,INFANT FEEDING TUBE 10SIZE,INFANT FEEDING TUBE 10SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,IOBAN 6640,IOBAN 6640,,,3M,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,IV SET,IV SET,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,IV SET ( NEPHRO ),IV SET ( NEPHRO ),,,sky medi equipments,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,JAR,JAR,,,3M,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH - 22 SIZE,KIT KATH - 22 SIZE,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH - 22 SIZE,KIT KATH - 22 SIZE,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH 18 G,KIT KATH 18 G,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH 18 G,KIT KATH 18 G,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH 18 G,KIT KATH 18 G,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH 20G,KIT KATH 20G,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KIT KATH 20G,KIT KATH 20G,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,KLICK CLAMP,KLICK CLAMP,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,MBL-6-I-5B BAND LIGATOR BARREL.,MBL-6-I-5B BAND LIGATOR BARREL.,,,COOK INDIA MEDICAL DIVICE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,MICROPORE PLASTER 1INCH,MICROPORE PLASTER 1INCH,,,3M,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,MICROPORE PLASTER 2INCH,MICROPORE PLASTER 2INCH,,,3M,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,MUCUS EXTRACTOR,MUCUS EXTRACTOR,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NASAL CANNULA,NASAL CANNULA,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEBULIZER KIT MASK,NEBULIZER KIT MASK,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEBULIZER KIT MASK,NEBULIZER KIT MASK,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEBULIZER MASK PAEDIATRIC,NEBULIZER MASK PAEDIATRIC,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE  21GX1 1/2,NEEDLE  21GX1 1/2,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE  21GX1 1/2,NEEDLE  21GX1 1/2,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 18 X 1 1/2,NEEDLE 18 X 1 1/2,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 18 X 1 1/2,NEEDLE 18 X 1 1/2,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 18 X 1 1/2,NEEDLE 18 X 1 1/2,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 23G  X 1,NEEDLE 23G  X 1,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 23G  X 1,NEEDLE 23G  X 1,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 23G X 1 1/2,NEEDLE 23G X 1 1/2,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NEEDLE 23G X 1 1/2,NEEDLE 23G X 1 1/2,,,HINDUSTAN SYRINGE & MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV  6 SIZE,NON STERILE GLOV  6 SIZE,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV  6 SIZE,NON STERILE GLOV  6 SIZE,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV 6.5 SIZE,NON STERILE GLOV 6.5 SIZE,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV 7 SIZE,NON STERILE GLOV 7 SIZE,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV 7.5 SIZE,NON STERILE GLOV 7.5 SIZE,,,suraksha,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,NON STERILE GLOV 8 SIZE,NON STERILE GLOV 8 SIZE,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,O2 MASK,O2 MASK,,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,O2 MASK (PD),O2 MASK (PD),,,VINJOH HEALTHCARE LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PAPPER GLOVES,PAPPER GLOVES,,,KOVAI SURGICALS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PAPPER GLOVES,PAPPER GLOVES,,,SURGICARE,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PAPPER GLOVES,PAPPER GLOVES,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PAPPER GLOVES,PAPPER GLOVES,,,SRI GOPAL KRISHNA LABS PVT LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PEDIA DRIP SET,PEDIA DRIP SET,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PERITONEAL DIALYSIS SET ( ADULT ),PERITONEAL DIALYSIS SET ( ADULT ),,,poly medicure ltd,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PRO VISC 3D DUAL MESH 15CM X15 CM,PRO VISC 3D DUAL MESH 15CM X15 CM,,,lotus,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PROLENE MESH 10X14,PROLENE MESH 10X14,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PROLENE MESH 3X6,PROLENE MESH 3X6,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PROLENE MESH 6X6,PROLENE MESH 6X6,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,PROLINE MESH  6CM X 11CM,PROLINE MESH  6CM X 11CM,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ROMOVAC DRAIIN 14 SIZE,ROMOVAC DRAIIN 14 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,ROMOVAC DRAIN 12 SIZE,ROMOVAC DRAIN 12 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,RYLES TUBE 12 SIZE,RYLES TUBE 12 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,RYLES TUBE 16 SIZE,RYLES TUBE 16 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,RYLES TUBE 18 SIZE,RYLES TUBE 18 SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SILICON FOLEYS CATHETER 18 SIZE,SILICON FOLEYS CATHETER 18 SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SILICON FOLYS CATHETER 14SIZE,SILICON FOLYS CATHETER 14SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SILICON FOLYS CATHETER 16SIZE,SILICON FOLYS CATHETER 16SIZE,,,RUSCH,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SILICON FOLYS CATHETER 16SIZE,SILICON FOLYS CATHETER 16SIZE,,,ROMSONS,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SOFFBAN   10CM,SOFFBAN   10CM,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SOFFBAN  15CM,SOFFBAN  15CM,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SPINAL NEEDLE 18G,SPINAL NEEDLE 18G,,,BD PHARMA,,,,,,NOS,NOS,1
,MEDICAL STORE,DISPOSABLES,SPINAL NEEDLE 18G,SPINAL NEEDLE 18G,,,HINDUSTAN PHARMACEUTICALS,,,,,,NOS,NOS,1
