SubGroup,ItemName,ItemCode,RateList
OPTHALMOLOGY,Dacryocystorhinostomy?Plain,57,3306
OPTHALMOLOGY,"Dacryocystorhinostomy?Plain with intubation and/or with
lacrimal implants",58,11213
OPTHALMOLOGY,Dacryocystorhinostomy?conjunctival with implant,59,10580
OPTHALMOLOGY,Caliculoplasty,60,2645
OPTHALMOLOGY,Dacryocystectomy,61,1984
OPTHALMOLOGY,Punctal plugs for dry eyes,62,150
OPTHALMOLOGY,Refraction,63,46
OPTHALMOLOGY,Indirect Ophthalmoscopy,64,77
OPTHALMOLOGY,Orthoptic check-up- with synoptophore,65,51
OPTHALMOLOGY,Lees? charting or Hess charting,66,115
OPTHALMOLOGY,Orthoptic exercises,67,58
OPTHALMOLOGY,Pleoptic exercises,68,58
OPTHALMOLOGY,Perimetry/field test?Goldman,69,166
OPTHALMOLOGY,Perimetry/field test? automated,70,166
OPTHALMOLOGY,Fluorescein angiography for fundus or iris,71,1058
OPTHALMOLOGY,Ultrasound A- Scan,72,992
OPTHALMOLOGY,Ultrasound B- Scan,73,265
OPTHALMOLOGY,Fundus Photo Test,74,230
OPTHALMOLOGY,Indocyanin green angiography,75,1058
OPTHALMOLOGY,Corneal endothelial cell count with specular microscopy,76,265
OPTHALMOLOGY,Corneal topography,77,381
OPTHALMOLOGY,Corneal pachymetry,78,265
OPTHALMOLOGY,Auto-refraction,79,40
OPTHALMOLOGY,Macular function tests,80,51
OPTHALMOLOGY,Potential acuity metry,81,115
OPTHALMOLOGY,Laser interferometry,82,199
OPTHALMOLOGY,OCT-Optical coherence tomography,83,2500
OPTHALMOLOGY,HRT- Heidelberg?s retinal tomogram,84,173
OPTHALMOLOGY,GDX--- Nerve fibre layer analyzer,85,101
OPTHALMOLOGY,UBM- Ultrasound bio microscopy,86,173
OPTHALMOLOGY,Non Contact tonometry,87,58
OPTHALMOLOGY,IOP measurement with schiotz,88,35
OPTHALMOLOGY,IOP measurement with applation tonometry,89,58
OPTHALMOLOGY,Three mirror examination for reti,90,67
OPTHALMOLOGY,90 D lens examination,91,58
OPTHALMOLOGY,Gonioscopy,92,67
OPTHALMOLOGY,Chalazion incision and curettage in one eye,93,460
OPTHALMOLOGY,Chalazion incision and curettage in both eyes,94,496
OPTHALMOLOGY,Ptosis surgery with fasanella servat procedure,95,2645
OPTHALMOLOGY,Ptosis surgery with LPS resection one lid,96,6325
OPTHALMOLOGY,Ptosis surgery with Sling surgery one lid,97,7671
OPTHALMOLOGY,Ectropion surgery- one lid,98,1610
OPTHALMOLOGY,Ectropion surgery- both lids,99,2875
OPTHALMOLOGY,Epicanthus correction,100,1783
OPTHALMOLOGY,Cantholysis and canthotomy,101,662
OPTHALMOLOGY,Entropion surgery- one lid,102,1587
OPTHALMOLOGY,Entropion surgery- both lids,103,2300
OPTHALMOLOGY,Tarsorraphy,104,748
OPTHALMOLOGY,Suturing of lid lacerations,105,1323
OPTHALMOLOGY,Lid retraction repair,106,1955
OPTHALMOLOGY,Concretions removal,107,132
OPTHALMOLOGY,Bucket handle procedure for lid tumors,108,397
OPTHALMOLOGY,Cheek rotation flap for lid tumors,109,7935
OPTHALMOLOGY,Orbitotomy,110,9258
OPTHALMOLOGY,Enucleation,111,3450
OPTHALMOLOGY,Enucleation with orbital implants and artificial prosthesis,112,3450
OPTHALMOLOGY,Evisceration,113,3968
OPTHALMOLOGY,Evisceration with orbital implants and artificial prosthesis,114,6547
OPTHALMOLOGY,Telecanthus correction,115,5951
OPTHALMOLOGY,Orbital decompression,116,6613
OPTHALMOLOGY,Exenteration,117,6613
OPTHALMOLOGY,Exenteration with skin grafting,118,7935
OPTHALMOLOGY,Fracture orbital repair,119,10580
OPTHALMOLOGY,Retinal laser procedures,120,1725
OPTHALMOLOGY,Retinal detachment surgery,121,13225
OPTHALMOLOGY,Retinal detachment surgery with scleral buckling,122,15870
OPTHALMOLOGY,Buckle removal,123,1323
OPTHALMOLOGY,Silicone oil removal,124,3220
OPTHALMOLOGY,Anterior retinal cryopexy,125,1336
OPTHALMOLOGY,Squint correction for one eye,126,5750
OPTHALMOLOGY,Squint correction for both eyes,127,8625
OPTHALMOLOGY,Trabeculectomy,128,7935
OPTHALMOLOGY,Trabeculotomy,129,7935
OPTHALMOLOGY,Trabeculectomy with Trabeculotomy,130,11903
OPTHALMOLOGY,Trephition,131,2645
OPTHALMOLOGY,Goniotomy,132,397
OPTHALMOLOGY,Glaucoma surgery with Glaucoma valves,133,7935 +valve
OPTHALMOLOGY,Cyclocryotherapy,134,1323
OPTHALMOLOGY,YAG laser iridotomy,135,1725
OPTHALMOLOGY,YAG laser capsulotomy,136,1257
OPTHALMOLOGY,ALT-Argon laser trabeculoplasty,137,1719
OPTHALMOLOGY,PDT-Photodymic therapy,138,3968
OPTHALMOLOGY,TTT- Transpupillary thermal therapy,139,3450
OPTHALMOLOGY,PTK- Phototherapeutic keratectomy,140,8625
OPTHALMOLOGY,Argon/diode laser for retinal detatchment,141,1323
OPTHALMOLOGY,Intralase application for keratoconus,142,6613
OPTHALMOLOGY,EOG- electro-oculogram,143,1035
OPTHALMOLOGY,ERG- Electro-retinogram,144,913
OPTHALMOLOGY,VEP- visually evoked potential,145,920
OPTHALMOLOGY,Vitrectomy- pars plana,146,13225
OPTHALMOLOGY,Intravitreal injections- of antibiotics,147,1323
OPTHALMOLOGY,Intravitreal injections- of lucentis excluding cost of drug,148,3450
OPTHALMOLOGY,X- Ray orbit,149,132
OPTHALMOLOGY,CT-orbit and brain,150,199
OPTHALMOLOGY,MRI- Orbit and brain,151,3968
OPTHALMOLOGY,Dacryocystography,152,391
OPTHALMOLOGY,Orbital angio-graphical studies,153,1725
OPTHALMOLOGY,ECCE with IOL,154,3968
OPTHALMOLOGY,SICS with IOL,155,5750
OPTHALMOLOGY,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,156,12398
OPTHALMOLOGY,Pars plana lensectomy with/without IOL,157,11903
OPTHALMOLOGY,"Secondary IOL implantation- AC IOL PC IOL or scleral
fixated IOL",158,7935
OPTHALMOLOGY,"Cataract extraction with IOL with capsular tension rings
(Cionni?s ring)",159,15525
OPTHALMOLOGY,Optic nerve sheathotomy,160,8625
OPTHALMOLOGY,Iridodialysis repair or papillary reconstruction,161,5750
OPTHALMOLOGY,Iris cyst removal,162,978
OPTHALMOLOGY,Lid Abscess incision and Drainage,163,1955
OPTHALMOLOGY,Orbital Abscess incision and Drainage,164,3450
OPTHALMOLOGY,Biopsy,165,529
OPTHALMOLOGY,Paracentesis,166,265
OPTHALMOLOGY,Scleral graft for scleral melting or perforation,167,3220
OPTHALMOLOGY,Amniotic membrane grafting,168,1265
OPTHALMOLOGY,Cyclodiathermy,169,2645
OPTHALMOLOGY,Intraocular foreign body removal,170,215
OPTHALMOLOGY,Electrolysis,171,265
OPTHALMOLOGY,Perforating injury repair,172,5175
OPTHALMOLOGY,Botulinum injection for blepharospasm or squint,173,2875
DENTAL,Flap Operation per quadrant,174,414
DENTAL,Gingivectomy per quadrant,175,269
DENTAL,Reduction & immobilization of fracture- Maxilla Under LA,176,1035
DENTAL,Reduction & immobilization of fracture-Mandible Under LA,177,4025
DENTAL,splints/Cirucum mandibular wiring under LA,178,587
DENTAL,splints/Cirucum mandibular wiring under GA,179,1139
DENTAL,Internal wire fixation/plate fixation of Maxilla under LA,180,3450
DENTAL,Internal wire fixation/plate fixation of Maxilla under GA,181,4600
DENTAL,Internal wire fixation/plate fixation of Mandible under LA,182,4025
DENTAL,Internal wire fixation/plate fixation of Mandible under GA,183,4888
DENTAL,Extraction per tooth under LA,184,92
DENTAL,Complicated Ext. per Tooth under LA,185,115
DENTAL,Extraction of impacted tooth under LA,186,184
DENTAL,"Extraction in mentally retarded/patients with systemic
diseases/patient with special needs under short term GA",187,1080
DENTAL,"Cyst & tumour of Maxilla /mandible by enucleation/
excision/ marsupalisation upto 4 cms under LA",188,281
DENTAL,"Cyst & tumour of Maxilla/mandible by enucleation/
excision/ marsupalisation size more than 4 cms under LA",189,467
DENTAL,"Cyst & tumour of Maxilla/mandible by
enucleation/excision/marsupalisation size more than 4 cms
under GA",190,1150
DENTAL,TM joint ankylosis- under GA,191,8625
DENTAL,Biopsy Intraoral-Soft tissue,192,430
DENTAL,Biopsy Intraoral-Bone,193,430
DENTAL,Hemi-mandibulectomy with graft,194,24150
DENTAL,Hemi-mandibulectomy without graft,195,24150
DENTAL,Segmental-mandibulectomy with graft,196,3910
DENTAL,Segmental-mandibulectomy without graft,197,1139
DENTAL,Maxillectomy- Total with graft,198,2875
DENTAL,Maxillectomy- Total without graft,199,2243
DENTAL,Maxillectomy- partial with graft,200,3450
DENTAL,Maxillectomy- partial without graft,201,2875
DENTAL,"Release of fibrous bands & grafting -in (OSMF) treatment
under GA",202,1725
DENTAL,Pre-prosthetic surgery- Alveoloplasty,203,575
DENTAL,Pre-prosthetic surgery - ridge augmentation,204,1380
DENTAL,Root canal Treatment(RCT) Anterior teeth(per tooth),205,575
DENTAL,Root canal Treatment(RCT) Posterior teeth (per tooth),206,805
DENTAL,Apicoectomy- Single root,207,575
DENTAL,Apicoectomy-Multiple roots,208,748
DENTAL,Metal Crown-per unit,209,575
DENTAL,Metal Crown with Acrylic facing per unit,210,805
DENTAL,Complete single denture-metal based,211,1725
DENTAL,Complete denture- acrylic based per arch,212,1093
DENTAL,Removable partial denture-Metal based-upto 3 teeth,213,805
DENTAL,Removable partial denture-Metal based-more than 3 teeth,214,1035
DENTAL,Removable partial denture-Acrylic based-upto 3 teeth,215,575
DENTAL,Removable partial denture-Acrylic based-more than 3 teeth,216,304
DENTAL,Amalgum restoration-per tooth,217,230
DENTAL,Composite Restoration-per tooth-anterior tooth,218,288
DENTAL,Glas Ionomer-per tooth,219,230
DENTAL,Scaling & polishing,220,345
DENTAL,Removable Orthodontics appliance- per Arch,221,805
DENTAL,Fixed Orhtodontics-per Arch,222,1323
DENTAL,Space maintainers-Fixed,223,575
DENTAL,Habit breaking appliances-removable,224,920
DENTAL,Habit breaking appliances-Fixed,225,1725
DENTAL,Expansion plate,226,1150
DENTAL,Feeding appliance for cleft palate,227,1725
DENTAL,"Maxillo-facial prosthesis (sal/auricular/orbital/facial lost
part)",228,4025
DENTAL,Functional orthodentic appliances,229,3450
DENTAL,Obturator (Maxillo-facial),230,1725
DENTAL,Occlusal night guard(splint),231,920
ENT,Pure Tone Audiogram,232,198
ENT,Impedence with stepedeal reflex,233,265
ENT,SISI Tone Decay,234,152
ENT,Multiple hearing assessment test to Adults,235,132
ENT,Speech Discrimination Score,236,103
ENT,Speech Assessment,237,138
ENT,Speech therapy per session of 30-40 minutes,238,151
ENT,Cold Calorie Test for Vestibular function,239,198
ENT,Removal of foreign body From Nose,240,397
ENT,Removal of foreign body From Ear,241,265
ENT,Syringing (Ear),242,191
ENT,Polyp removal under LA,243,661
ENT,Polyp removal under GA,244,978
ENT,Peritonsillar abscess Drainage under LA,245,1666
ENT,Myringoplasty,246,7935
ENT,Myringoplasty,247,10580
ENT,Myringotomy with Grommet insertion,248,5290
ENT,Tympanotomy,249,9919
ENT,Tympanoplasty,250,15870
ENT,Mastoidectomy,251,17193
ENT,Otoplasty,252,18515
ENT,Labyrinthectomy,253,15870
ENT,Skull Base surgery,254,28750
ENT,Facial Nerve Decompression,255,19838
ENT,Septoplasty,256,6613
ENT,Submucous Resection,257,8411
ENT,Septo-rhinoplasty,258,18515
ENT,Rhinoplasty- Non-cosmetic,259,13225
ENT,Fracture Reduction,260,5000
ENT,Intra nasal Diathermy,261,1323
ENT,Turbinectomy,262,6613
ENT,Endoscopic DCR,263,14950
ENT,Endoscopic Surgery,264,15870
ENT,Septal Perforation Repair,265,15870
ENT,Antrum Puncture,266,1093
ENT,Lateral Rhinotomy,267,1150
ENT,Cranio-facial resection,268,29325
ENT,Caldwell Luc Surgery,269,12220
ENT,Angiofibroma Excision,270,19550
ENT,Endoscopic Hypophysectomy,271,24725
ENT,Endoscopic Optic Nerve Decompression,272,37691
ENT,Decompression of Orbit,273,29325
ENT,Punch/Wedge biopsy,274,775
ENT,Tonsillectomy,275,5750
ENT,Uvulo-palatoplasty,276,17250
ENT,FESS for antrochoal polyp,277,6613
ENT,FESS for ethmoidal polyp,278,6613
ENT,Polyp removal ear,279,860
ENT,Polyp removal Nose(Septal polyp),280,860
ENT,"Mastoidectomy plus Ossciculoplasty including TORP or
PORP",281,2777
ENT,Endolymphatic sac decompression,282,3306
ENT,Diagnostic endoscopy under GA,283,2645
ENT,Yonges operation for Atrophic rhinitis,284,7935
ENT,Vidian neurectomy for vasomotor Rhinitis,285,11903
ENT,Nasal Packing-anterior,286,397
ENT,Nasal Packing-posterior,287,926
ENT,Ranula Excision,288,7869
ENT,Tongue Tie excision,289,1725
ENT,Sub Mandibular Duct Lithotomy,290,309
ENT,Adenoidectomy,291,6486
ENT,Palatopharyngoplasty,292,9390
ENT,Pharyngoplasty,293,19772
ENT,Styloidectomy,294,10580
ENT,Direct laryngoscopy including Biopsy under GA,295,5750
ENT,Oesophagoscopy/foreign body removal from,296,2070
ENT,Bronchoscopy with F.B.removal,297,2804
 HEAD AND NECK,Ear Lobe Repair one side,300,575
 HEAD AND NECK,"Excision of Pinna for Growth (Squamous/Basal/ Injuries)
Skin Only",301,4600
 HEAD AND NECK,"Excision of Pinna for Growth (Squamous/Basal/ Injuries)
Skin and Cartilage",302,4370
 HEAD AND NECK,Partial Amputation of Pinna,303,5175
 HEAD AND NECK,Total Amputation of Pinna,304,7130
 HEAD AND NECK,Total Amputation & Excision of External Auditory Meatus,305,1725
 HEAD AND NECK,Excision of Cystic Hygroma,306,5951
 HEAD AND NECK,Excision of Cystic Hygroma Extensive,307,8570
 HEAD AND NECK,Excision of Branchial Cyst,308,11903
 HEAD AND NECK,Excision of Branchial Sinus,309,11903
 HEAD AND NECK,Excision of Pharyngeal Diverticulum,310,12167
 HEAD AND NECK,Excision of Carotid Body-Tumours,311,13357
 HEAD AND NECK,Operation for Cervical Rib,312,14375
 HEAD AND NECK,Block Dissection of Cervical Lymph Nodes,313,17250
 HEAD AND NECK,Pharyngectomy & Reconstruction,314,17250
 HEAD AND NECK,Operation for Carcinoma Lip - Wedge-Excision,315,9258
 HEAD AND NECK,Operation for Carcinoma Lip - Vermilionectomy,316,6622
 HEAD AND NECK,"Operation for Carcinoma Lip - Wedge Excision and
Vermilonectomy",317,10686
 HEAD AND NECK,Estlander Operation,318,8596
 HEAD AND NECK,Abbe Operation,319,11270
 HEAD AND NECK,Cheek Advancement,320,11241
 HEAD AND NECK,Excision of the Maxilla,321,22218
 HEAD AND NECK,Excision of mandible-segmental,322,17854
 HEAD AND NECK,Mandibulectomy,323,24150
 HEAD AND NECK,Partial Glossectomy,324,6348
 HEAD AND NECK,Hemiglossectomy,325,8050
 HEAD AND NECK,Total Glossectomy,326,26318
 HEAD AND NECK,Commondo Operation,327,25300
 HEAD AND NECK,Parotidectomy - Superficial,328,13886
 HEAD AND NECK,Parotidectomy - Total,329,17250
 HEAD AND NECK,Parotidectomy - Radical,330,22483
 HEAD AND NECK,Repair of Parotid Duct,331,13225
 HEAD AND NECK,Removal of Submandibular Salivary gland,332,9919
 HEAD AND NECK,Hemithyroidectomy,333,10925
 HEAD AND NECK,Partial Thyroidectomy (lobectomy),334,13225
 HEAD AND NECK,Subtotal Thyroidectomy,335,15011
 HEAD AND NECK,Total Thyroidectomy,336,21850
 HEAD AND NECK,Resection Enucleation of thyroid Adenoma,337,12167
 HEAD AND NECK,Total Thyroidectomy and Block Dissection,338,30418
 HEAD AND NECK,Excision of Lingual Thyroid,339,19414
 HEAD AND NECK,Excision of Thyroglossal Cyst/Fistula,340,15209
 HEAD AND NECK,Excision of Parathyroid Adenoma/Carcinoma,341,24466
 HEAD AND NECK,Laryngectomy,342,20499
 HEAD AND NECK,Laryngo Pharyngectomy,343,34500
 HEAD AND NECK,Hyoid Suspension,344,11903
 HEAD AND NECK,Genioplasty,345,13800
 HEAD AND NECK,Direct Laryngoscopy including biopsy under GA,346,5951
 HEAD AND NECK,Phonosurgery,347,15870
 HEAD AND NECK,Fibroptic examition of Larynx under LA,348,1984
 HEAD AND NECK,Microlaryngeal Surgery,349,11903
 HEAD AND NECK,Laryngofissure,350,19838
 HEAD AND NECK,Tracheal Stenosis Excision,351,22747
BREST,Drainage of abscess,362,6900
BREST,Excision of lumps,363,8014
BREST,Local mastectomy-simple,364,14548
BREST,Radical mastectomy-formal or modified.,365,33063
BREST,Excision of mammary fistula,366,17854
BREST,Segmental resection of breast,367,18515
GENERAL SURGERY,Injury Of Superficial Soft Tissues,370,500
GENERAL SURGERY,Suturing of small wounds,371,309
GENERAL SURGERY,Secondary suture of wounds,372,334
GENERAL SURGERY,Debridement of wounds,373,518
GENERAL SURGERY,Removal Of Foreign Bodies,374,345
Biopsies,Excision of Cervical Lymph Node,375,1984
Biopsies,Excision of Axillary Lymph Node,376,2619
Biopsies,Excision of Inguinal Lymph Node,377,2619
Biopsies,Excision Biopsy of Ulcers,378,1691
Biopsies,Excision Biopsy of Superficial Lumps,379,3703
Biopsies,Incision Biopsy of Growths/Ulcers,380,1691
Biopsies,Trucut Needle Biopsy,381,1783
Biopsies,Percutaneous Kidney Biopsy,382,1691
Biopsies,Marrow Biopsy (Open),383,1219
Biopsies,Muscle Biopsy,384,1691
Biopsies,Scalene Node Biopsy,385,1553
Biopsies,Excision of Sebaceous Cysts,386,1428
Biopsies,Excision of Superficial Lipoma,387,2222
Biopsies,Excision of Superficial Neurofibroma,388,2875
Biopsies,Excision of Dermoid Cysts,389,2619
Biopsies,Haemorrhoidectomy,390,2875
Biopsies,Stappler haemorrhoidectomy,391,4629
Biopsies,keloid excision,392,1323
Biopsies,"Vericose vein surger
or ligation.",393,9919
OESOPHAGUS,Atresia of Oesophagus and Tracheo Oesophageal Fistula,394,33063
OESOPHAGUS,Operations for Replacement of Oesophagus by Colon,395,28750
OESOPHAGUS,Oesophagectomy for Carcinoma Easophagus,396,28750
OESOPHAGUS,Oesophageal Intubation (Mausseau Barbin Tube),397,13225
OESOPHAGUS,Achalasia Cardia Transthoracic,398,17193
OESOPHAGUS,Achalasia Cardia Abdominal,399,14548
OESOPHAGUS,Oesophago Gastrectomy for mid 1/3 lesion,400,28169
OESOPHAGUS,Hellers Operation,401,22713
OESOPHAGUS,Colon-Inter position or Replacement of Oesophagus,402,25921
OESOPHAGUS,Oesophago Gastrectomy ? Lower Corringers procedure,403,24599
ABDOMEN / GI SURGERY,Gastroscopy,406,1984
ABDOMEN / GI SURGERY,Gastric & Duodenal Biopsy (Endoscopic),407,2243
ABDOMEN / GI SURGERY,Pyloromyotomy,408,3220
ABDOMEN / GI SURGERY,Gastrostomy,409,9919
ABDOMEN / GI SURGERY,Simple Closure of Perforated peptic Ulcer,410,11241
ABDOMEN / GI SURGERY,Vagotomy Pyleroplasty / Gastro Jejunostomy,411,15870
ABDOMEN / GI SURGERY,Duodenojejunostomy,412,21793
ABDOMEN / GI SURGERY,Partial/Subtotal Gastrectomy for Carcinoma,413,26450
ABDOMEN / GI SURGERY,Partial/Subtotal Gastrectomy for Ulcer,414,25789
ABDOMEN / GI SURGERY,Operation for Bleeding Peptic Ulcer,415,24122
ABDOMEN / GI SURGERY,Operation for Gastrojejunal Ulcer,416,22747
ABDOMEN / GI SURGERY,Total Gastrectomy for Cancer,417,25723
ABDOMEN / GI SURGERY,Highly Selective Vagotomy,418,21425
ABDOMEN / GI SURGERY,Selective Vagotomy & Drainage,419,21425
ABDOMEN / GI SURGERY,Congenital Diaphragmatic Hernia,420,21821
ABDOMEN / GI SURGERY,Hiatus Hernia Repair- Abdominal,421,16664
ABDOMEN / GI SURGERY,Hiatus Hernia Repair- Transthoracic,422,18515
ABDOMEN / GI SURGERY,Exploratory Laparotomy,423,14548
ABDOMEN / GI SURGERY,Epigastric Hernia Repair,424,13093
ABDOMEN / GI SURGERY,Umbilical Hernia Repair,425,13093
ABDOMEN / GI SURGERY,Ventral /incisional Hernia Repair,426,11837
ABDOMEN / GI SURGERY,Inguinal Hernia Herniorraphy,427,17060
ABDOMEN / GI SURGERY,Inguinal Hernia - Hernioplasty,428,18975
ABDOMEN / GI SURGERY,Femoral Hernia Repair,429,21028
ABDOMEN / GI SURGERY,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",430,21821
ABDOMEN / GI SURGERY,Splenectomy - For Trauma,431,21821
ABDOMEN / GI SURGERY,Splenectomy - For Hypersplenism,432,16664
ABDOMEN / GI SURGERY,Splenorenal Anastomosis,433,26450
ABDOMEN / GI SURGERY,Portocaval Anastomosis,434,33063
ABDOMEN / GI SURGERY,Direct Operation on Oesophagus for Portal Hypertension,435,26318
ABDOMEN / GI SURGERY,Mesentericocaval Anastomosis,436,29268
ABDOMEN / GI SURGERY,Warren Shunt,437,33063
ABDOMEN / GI SURGERY,Pancerato Duodenectomy,438,24995
ABDOMEN / GI SURGERY,By Pass Procedure for Inoperable Carcinoma of Pancreas,439,26450
ABDOMEN / GI SURGERY,Cystojejunostomy or Cystogastrostomy,440,16664
ABDOMEN / GI SURGERY,Cholecystectomy,441,11836
ABDOMEN / GI SURGERY,Cholecystectomy & Exploration of CBD,442,16531
ABDOMEN / GI SURGERY,Repair of CBD,443,16000
ABDOMEN / GI SURGERY,Operation for Hydatid Cyst of Liver,444,13687
ABDOMEN / GI SURGERY,Cholecystostomy,445,11836
ABDOMEN / GI SURGERY,Hepatic Resections (Lobectomy /Hepatectomy),446,16531
ABDOMEN / GI SURGERY,Operation on Adrenal Glands - Bilateral,447,30021
ABDOMEN / GI SURGERY,Operation on Adrenal Glands - Unilateral,448,15870
ABDOMEN / GI SURGERY,Appendicectomy,449,9324
ABDOMEN / GI SURGERY,Appendicular Abscess ? Drainage,450,11241
ABDOMEN / GI SURGERY,Mesenteric Cyst- Excision,451,12696
ABDOMEN / GI SURGERY,Peritonioscopy/Laparoscopy,452,5290
ABDOMEN / GI SURGERY,Jejunostomy,453,6613
ABDOMEN / GI SURGERY,Ileostomy,454,17722
ABDOMEN / GI SURGERY,Resection & Anastomosis of Small Intestine,455,23805
ABDOMEN / GI SURGERY,Duodenal Diverticulum,456,21160
ABDOMEN / GI SURGERY,Operation for Intestinal Obstruction,457,11903
ABDOMEN / GI SURGERY,Operation for Intestinal perforation,458,43700
ABDOMEN / GI SURGERY,Benign Tumours of Small Intestine,459,22483
ABDOMEN / GI SURGERY,Excision of Small Intestine Fistula,460,22483
ABDOMEN / GI SURGERY,Operations for GI Bleed,461,18400
ABDOMEN / GI SURGERY,Operations for Haemorrhage of Small Intestines,462,22483
ABDOMEN / GI SURGERY,Operations of the Duplication of the Intestines,463,20499
ABDOMEN / GI SURGERY,"Operations for Recurrent Intestinal Obstruction (Noble
Plication & Other Operations for Adhesions)",464,26450
ABDOMEN / GI SURGERY,Ilieosigmoidostomy and related resection,465,19309
ABDOMEN / GI SURGERY,Ilieotransverse Colostomy and related resection,466,19309
ABDOMEN / GI SURGERY,Caecostomy,467,4488
ABDOMEN / GI SURGERY,Loop Colostomy Transverse Sigmoid,468,15077
ABDOMEN / GI SURGERY,Terminal Colostomy,469,19838
ABDOMEN / GI SURGERY,Closure of Colostomy,470,20102
ABDOMEN / GI SURGERY,Right Hemi-Colectomy,471,15870
ABDOMEN / GI SURGERY,Left Hemi-Colectomy,472,15870
ABDOMEN / GI SURGERY,Total Colectomy,473,19838
ABDOMEN / GI SURGERY,Operations for Volvulus of Large Bowel,474,28658
ABDOMEN / GI SURGERY,Operations for Sigmoid Diverticulitis,475,21425
ABDOMEN / GI SURGERY,"Fissure in Ano with Internal sphinctrectomy with
fissurectomy.",476,15870
ABDOMEN / GI SURGERY,Fissure in Ano - Fissurectomy,477,6613
ABDOMEN / GI SURGERY,Rectal Polyp-Excision,478,6507
ABDOMEN / GI SURGERY,Fistula in Ano - High Fistulectomy,479,19297
ABDOMEN / GI SURGERY,Fistula in Ano - Low Fistulectomy,480,11347
ABDOMEN / GI SURGERY,Prolapse Rectum - Theirch Wiring,481,11903
ABDOMEN / GI SURGERY,Prolapse Rectum - Rectopexy,482,6613
ABDOMEN / GI SURGERY,Prolapse Rectum - Grahams Operation,483,21160
ABDOMEN / GI SURGERY,Operations for Hirschsprungs Disease,484,16399
ABDOMEN / GI SURGERY,Excision of Pilonidal Sinus (open),485,13225
ABDOMEN / GI SURGERY,Excision of Pilonidal Sinus with closure,486,13225
ABDOMEN / GI SURGERY,Abdomino-Perineal Excision of Rectum,487,21045
ABDOMEN / GI SURGERY,Anterior Resection of rectum,488,25128
ABDOMEN / GI SURGERY,Pull Through Abdominal Resection,489,19746
ABDOMEN / GI SURGERY,Retro Peritoneal Tumor Removal,490,20700
ABDOMEN / GI SURGERY,Radio ablation of varicose veins,491,2070
ABDOMEN / GI SURGERY,Laser ablation of varicose veins,492,19838
ABDOMEN / GI SURGERY,Laproscopic Fundoplication,493,22195
ABDOMEN / GI SURGERY,Laproscopic Spleenectomy,494,28750
ABDOMEN / GI SURGERY,Laproscopic Removal of hydatid cyst,495,20700
ABDOMEN / GI SURGERY,Laproscopic treatment of Pseudo Pancreatic cyst,496,20700
ABDOMEN / GI SURGERY,Laproscopic whipples operation,497,23000
ABDOMEN / GI SURGERY,Laproscopic GI bypass operation,498,25300
ABDOMEN / GI SURGERY,Laproscopic Total Colectomy,499,28750
ABDOMEN / GI SURGERY,Laproscopic Hemi Colectomy,500,26450
